Dissimilarity,weight,Long,Lat,Long,Lat,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc
0.986394557823129,1,146.48125,-43.52875,148.04625,-42.13625,2.123885592,0.499,4.107,18.5,1.38581,152,0.518574215,0.527,3.453,22.48,1.6425,53
0.92,1,146.48125,-43.52875,147.84125,-42.12875,2.123885592,0.499,4.107,18.5,1.38581,152,0.608659515,0.512,1.191,22.77,1.6425,53
0.84180790960452,1,146.48125,-43.52875,146.21125,-42.12625,2.123885592,0.499,4.107,18.5,1.38581,152,1.925935353,0.499,-0.208,20.47,0.828696,168
0.935185185185185,1,146.48125,-43.52875,147.36375,-42.08875,2.123885592,0.499,4.107,18.5,1.38581,152,0.437438587,0.523,0.783,23.48,1.55536,103
0.948387096774194,1,146.48125,-43.52875,147.95875,-42.07375,2.123885592,0.499,4.107,18.5,1.38581,152,0.530766635,0.525,2.479,21.4,1.6425,53
0.92258064516129,1,146.48125,-43.52875,147.95625,-42.05625,2.123885592,0.499,4.107,18.5,1.38581,152,0.564052093,0.522,2.106,22.5,1.6425,53
0.894736842105263,1,146.48125,-43.52875,148.26875,-42.05375,2.123885592,0.499,4.107,18.5,1.38581,152,0.626389234,0.526,4.519,22.19,1.59128,77
1,1,146.48125,-43.52875,147.42875,-42.02875,2.123885592,0.499,4.107,18.5,1.38581,152,0.472892679,0.523,0.719,23.34,1.60479,68
0.986666666666667,1,146.48125,-43.52875,147.97125,-42.01875,2.123885592,0.499,4.107,18.5,1.38581,152,0.576132087,0.522,2.041,21.83,1.6425,53
0.946236559139785,1,146.48125,-43.52875,147.96875,-42.01625,2.123885592,0.499,4.107,18.5,1.38581,152,0.60824548,0.519,1.786,21.78,1.6425,53
0.848837209302326,1,146.48125,-43.52875,147.19125,-42.00875,2.123885592,0.499,4.107,18.5,1.38581,152,1.070251241,0.472,-1.321,22.39,1.18117,176
0.787878787878788,1,146.48125,-43.52875,147.93125,-42.00625,2.123885592,0.499,4.107,18.5,1.38581,152,0.579088987,0.52,1.678,22.34,1.6425,53
0.986666666666667,1,146.48125,-43.52875,147.98125,-42.00625,2.123885592,0.499,4.107,18.5,1.38581,152,0.516137171,0.528,2.698,22.94,1.6425,53
0.958549222797927,1,146.48125,-43.52875,147.36375,-41.99875,2.123885592,0.499,4.107,18.5,1.38581,152,0.507341568,0.52,0.507,23.33,1.60479,68
0.958620689655172,1,146.48125,-43.52875,148.14125,-41.99625,2.123885592,0.499,4.107,18.5,1.38581,152,0.567469181,0.529,3.929,22.68,1.6425,53
0.857142857142857,1,146.48125,-43.52875,147.83125,-41.97375,2.123885592,0.499,4.107,18.5,1.38581,152,0.843322515,0.501,0.398,22.23,1.18117,176
0.797619047619048,1,146.48125,-43.52875,145.84625,-41.97125,2.123885592,0.499,4.107,18.5,1.38581,152,3.747420924,0.468,0.037,17.14,1.11188,180
0.921348314606742,1,146.48125,-43.52875,147.83125,-41.97125,2.123885592,0.499,4.107,18.5,1.38581,152,0.845421852,0.501,0.393,22.23,1.18117,176
0.960526315789474,1,146.48125,-43.52875,147.43375,-41.96375,2.123885592,0.499,4.107,18.5,1.38581,152,0.473628554,0.524,0.839,23.17,1.55491,90
0.906432748538012,1,146.48125,-43.52875,148.23375,-41.96375,2.123885592,0.499,4.107,18.5,1.38581,152,0.628240656,0.528,4.424,21.78,1.59128,77
0.816993464052288,1,146.48125,-43.52875,148.22125,-41.96125,2.123885592,0.499,4.107,18.5,1.38581,152,0.598712559,0.53,4.563,22.28,1.59128,77
0.735159817351598,1,146.48125,-43.52875,145.83125,-41.95875,2.123885592,0.499,4.107,18.5,1.38581,152,3.959794527,0.455,-0.243,17.08,1.11188,180
0.652694610778443,1,146.48125,-43.52875,145.48125,-41.91875,2.123885592,0.499,4.107,18.5,1.38581,152,3.929412971,0.48,1.762,15.57,1.40607,167
0.772511848341232,1,146.48125,-43.52875,147.84625,-41.90625,2.123885592,0.499,4.107,18.5,1.38581,152,1.224993261,0.471,-0.132,20.75,1.18117,176
0.890710382513661,1,146.48125,-43.52875,148.14875,-41.85625,2.123885592,0.499,4.107,18.5,1.38581,152,0.698484345,0.523,2.831,21.74,1.6425,53
0.808333333333333,1,146.48125,-43.52875,148.09875,-41.84875,2.123885592,0.499,4.107,18.5,1.38581,152,0.659877452,0.523,2.46,21.66,1.6425,53
0.892215568862275,1,146.48125,-43.52875,148.25875,-41.84625,2.123885592,0.499,4.107,18.5,1.38581,152,0.65155397,0.529,4.614,21.75,1.6425,53
0.866071428571429,1,146.48125,-43.52875,148.24875,-41.82125,2.123885592,0.499,4.107,18.5,1.38581,152,0.6281469,0.531,4.628,21.37,1.6425,53
0.959183673469388,1,146.48125,-43.52875,147.24125,-41.81875,2.123885592,0.499,4.107,18.5,1.38581,152,0.509808567,0.52,1.086,23.62,1.55536,103
1,1,146.48125,-43.52875,147.32125,-41.80875,2.123885592,0.499,4.107,18.5,1.38581,152,0.52031365,0.52,1.043,23.27,1.55536,103
0.872611464968153,1,146.48125,-43.52875,146.91125,-41.80625,2.123885592,0.499,4.107,18.5,1.38581,152,0.984410513,0.515,-0.045,22.05,1.18117,176
0.962962962962963,1,146.48125,-43.52875,147.33375,-41.79375,2.123885592,0.499,4.107,18.5,1.38581,152,0.556628767,0.518,0.853,23.08,1.6425,53
0.646258503401361,1,146.48125,-43.52875,145.62875,-41.77125,2.123885592,0.499,4.107,18.5,1.38581,152,2.78022411,0.498,2.085,17.66,1.11188,180
