Observed,Predicted,Linked,Residual,Pearsons
0.851852,2.081890,0.875306,-0.023454,-0.070992
0.969231,2.476221,0.915940,0.053291,0.192056
0.954887,2.207978,0.890077,0.064810,0.207197
0.952663,2.169435,0.885758,0.066905,0.210324
0.883871,2.319254,0.901653,-0.017782,-0.059715
0.867403,2.251469,0.894755,-0.027352,-0.089134
0.954887,2.271760,0.896869,0.058018,0.190766
0.965909,2.514242,0.919076,0.046833,0.171727
0.890625,2.150309,0.883552,0.007073,0.022051
0.867550,2.102647,0.877867,-0.010317,-0.031509
0.801325,2.054340,0.871823,-0.070498,-0.210889
0.950311,2.097317,0.877215,0.073096,0.222725
0.985185,2.478273,0.916112,0.069073,0.249163
0.896104,2.111010,0.878884,0.017220,0.052778
0.838235,2.148037,0.883287,-0.045052,-0.140315
0.752475,2.251691,0.894779,-0.142304,-0.463775
0.720000,2.001392,0.864853,-0.144853,-0.423695
0.845361,2.011281,0.866183,-0.020822,-0.061159
0.879518,2.033584,0.869134,0.010384,0.030789
0.820628,2.070248,0.873845,-0.053217,-0.160282
0.893333,2.084691,0.875655,0.017678,0.053575
0.884058,2.065569,0.873254,0.010804,0.032475
0.966480,2.463458,0.914860,0.051620,0.184958
0.985507,2.431841,0.912125,0.073382,0.259197
0.914286,2.048447,0.871065,0.043221,0.128968
0.986207,2.351452,0.904769,0.081438,0.277440
0.723077,1.355716,0.742237,-0.019160,-0.043805
0.946667,2.142277,0.882613,0.064054,0.199000
0.985612,2.394239,0.908758,0.076854,0.266898
0.689189,1.894413,0.849593,-0.160404,-0.448722
0.900621,2.212866,0.890613,0.010008,0.032063
0.954338,2.362602,0.905825,0.048513,0.166099
0.846154,1.895104,0.849697,-0.003543,-0.009915
0.886076,1.853501,0.843312,0.042764,0.117642
0.957746,2.619297,0.927146,0.030600,0.117739
0.956204,2.121504,0.880149,0.076055,0.234169
0.968085,2.423870,0.911422,0.056663,0.199424
0.972414,2.421956,0.911252,0.061162,0.215071
0.885714,2.015955,0.866807,0.018907,0.055645
0.895522,1.889466,0.848848,0.046674,0.130304
0.860465,1.852749,0.843195,0.017270,0.047496
0.859375,1.687084,0.814942,0.044433,0.114417
0.953488,1.980984,0.862067,0.091421,0.265120
0.942857,2.231937,0.892680,0.050177,0.162113
0.883041,1.843218,0.841693,0.041348,0.113274
0.900000,1.790066,0.833051,0.066949,0.179522
0.953125,1.790513,0.833125,0.120000,0.321832
0.875000,1.650500,0.808046,0.066954,0.170004
0.941176,1.629879,0.804047,0.137129,0.345472
0.939394,1.921801,0.853657,0.085737,0.242572
0.925311,2.261816,0.895839,0.029472,0.096481
0.954545,2.234713,0.892977,0.061568,0.199157
0.782313,1.134242,0.678334,0.103979,0.222598
0.882927,1.991743,0.863543,0.019384,0.056469
0.971631,1.395826,0.752372,0.219259,0.507974
0.986486,2.233535,0.892851,0.093635,0.302729
0.939394,2.094038,0.876811,0.062583,0.190421
0.969697,1.450943,0.765651,0.204046,0.481705
0.955224,1.319004,0.732599,0.222625,0.502991
0.666667,1.193022,0.696697,-0.030030,-0.065327
0.878378,1.897210,0.850013,0.028365,0.079439
0.984615,1.418774,0.757990,0.226625,0.529127
0.886076,1.882149,0.847737,0.038339,0.106711
0.882353,2.005893,0.865460,0.016893,0.049506
0.750000,1.976372,0.861429,-0.111429,-0.322517
0.512953,1.209013,0.701508,-0.188555,-0.412056
0.892857,1.998067,0.864403,0.028454,0.083112
0.887324,2.048802,0.871111,0.016213,0.048387
0.766423,1.386298,0.750001,0.016422,0.037926
0.893939,2.002744,0.865036,0.028903,0.084591
0.854015,1.776294,0.830736,0.023279,0.062081
0.864198,2.216009,0.890957,-0.026759,-0.085849
0.863636,1.837522,0.840788,0.022848,0.062447
0.862069,1.776362,0.830747,0.031322,0.083530
0.855072,1.776401,0.830754,0.024318,0.064854
0.928571,1.977310,0.861559,0.067012,0.194034
0.865169,2.033088,0.869069,-0.003900,-0.011563
0.924812,1.823758,0.838582,0.086230,0.234374
0.875000,2.297922,0.899533,-0.024533,-0.081606
0.984848,1.932146,0.855163,0.129685,0.368490
0.800000,2.123475,0.880385,-0.080385,-0.247710
0.890411,1.983213,0.862374,0.028037,0.081384
0.750000,1.949227,0.857616,-0.107616,-0.307963
0.751825,1.568913,0.791729,-0.039904,-0.098267
0.863118,2.298876,0.899628,-0.036510,-0.121501
0.708543,2.107290,0.878433,-0.169890,-0.519883
0.738462,1.873383,0.846397,-0.107935,-0.299347
0.769231,2.592316,0.925153,-0.155922,-0.592538
0.768240,2.224954,0.891928,-0.123688,-0.398386
0.775401,2.309008,0.900640,-0.125239,-0.418658
0.848921,2.806821,0.939603,-0.090682,-0.380666
0.937500,2.788912,0.938512,-0.001012,-0.004212
0.950311,3.048525,0.952571,-0.002260,-0.010633
0.791209,1.781378,0.831594,-0.040385,-0.107916
0.941606,1.930384,0.854907,0.086699,0.246167
0.459016,0.827469,0.562846,-0.103830,-0.209320
0.456522,0.869103,0.580673,-0.124151,-0.251598
0.953488,2.019800,0.867318,0.086170,0.254016
0.979381,1.786027,0.832375,0.147006,0.393555
0.958333,2.163994,0.885135,0.073198,0.229563
0.936709,2.086864,0.875924,0.060785,0.184381
0.939394,1.456710,0.766998,0.172396,0.407802
0.949153,2.195542,0.888702,0.060451,0.192213
0.926471,2.016429,0.866870,0.059601,0.175444
0.922078,2.004050,0.865212,0.056866,0.166520
0.936709,1.892258,0.849269,0.087440,0.244392
0.941748,2.168089,0.885604,0.056144,0.176392
1.000000,1.492417,0.775171,0.224829,0.538551
0.963303,1.763946,0.828633,0.134670,0.357377
