Response,Weights,X0,Y0,X1,Y1
0.920000,1.000000,146.481250,-43.528750,148.203750,-41.193750
0.867704,1.000000,146.481250,-43.528750,146.543750,-41.186250
0.959732,1.000000,146.481250,-43.528750,146.936250,-41.128750
0.741497,1.000000,146.481250,-43.528750,147.596250,-41.088750
0.914110,1.000000,146.481250,-43.528750,145.923750,-41.081250
0.665236,1.000000,146.481250,-43.528750,145.956250,-41.066250
0.610390,1.000000,146.481250,-43.528750,145.526250,-41.003750
0.850000,1.000000,146.481250,-43.528750,147.383750,-40.986250
0.685185,1.000000,146.481250,-43.528750,144.668750,-40.951250
0.727891,1.000000,146.481250,-43.528750,145.033750,-40.913750
0.768889,1.000000,146.481250,-43.528750,148.136250,-40.868750
0.688000,1.000000,146.481250,-43.528750,144.711250,-40.861250
0.774510,1.000000,146.481250,-43.528750,144.831250,-40.728750
0.837288,1.000000,146.481250,-43.528750,148.171250,-40.536250
0.898305,1.000000,146.481250,-43.528750,147.878750,-40.313750
0.910112,1.000000,146.481250,-43.528750,147.758750,-40.061250
0.632353,1.000000,146.511250,-43.508750,146.176250,-43.431250
0.729730,1.000000,146.511250,-43.508750,147.011250,-43.421250
0.774011,1.000000,146.511250,-43.508750,147.101250,-43.406250
0.530864,1.000000,146.511250,-43.508750,146.128750,-43.368750
0.590909,1.000000,146.511250,-43.508750,146.001250,-43.341250
0.680473,1.000000,146.511250,-43.508750,147.321250,-43.318750
0.868613,1.000000,146.511250,-43.508750,146.946250,-43.186250
0.913043,1.000000,146.511250,-43.508750,147.748750,-43.103750
0.848485,1.000000,146.511250,-43.508750,147.863750,-43.103750
0.683453,1.000000,146.511250,-43.508750,146.686250,-43.096250
0.860759,1.000000,146.511250,-43.508750,147.326250,-43.091250
0.897727,1.000000,146.511250,-43.508750,147.031250,-43.086250
0.886598,1.000000,146.511250,-43.508750,147.278750,-43.086250
0.888889,1.000000,146.511250,-43.508750,147.238750,-43.083750
0.888112,1.000000,146.511250,-43.508750,147.268750,-43.078750
0.705426,1.000000,146.511250,-43.508750,146.703750,-43.073750
0.758389,1.000000,146.511250,-43.508750,147.198750,-43.061250
0.808511,1.000000,146.511250,-43.508750,147.868750,-43.048750
0.925373,1.000000,146.511250,-43.508750,147.918750,-43.023750
0.937500,1.000000,146.511250,-43.508750,147.343750,-42.923750
0.902778,1.000000,146.511250,-43.508750,147.853750,-42.908750
0.656442,1.000000,146.511250,-43.508750,146.551250,-42.898750
0.925000,1.000000,146.511250,-43.508750,147.231250,-42.898750
1.000000,1.000000,146.511250,-43.508750,147.418750,-42.886250
0.972222,1.000000,146.511250,-43.508750,147.408750,-42.871250
0.893939,1.000000,146.511250,-43.508750,147.178750,-42.846250
0.985294,1.000000,146.511250,-43.508750,147.413750,-42.846250
0.942857,1.000000,146.511250,-43.508750,147.403750,-42.836250
0.890547,1.000000,146.511250,-43.508750,147.181250,-42.826250
0.939086,1.000000,146.511250,-43.508750,147.326250,-42.826250
0.892216,1.000000,146.511250,-43.508750,147.178750,-42.821250
0.955224,1.000000,146.511250,-43.508750,147.161250,-42.818750
0.952663,1.000000,146.511250,-43.508750,147.681250,-42.798750
0.791908,1.000000,146.511250,-43.508750,145.968750,-42.781250
0.765625,1.000000,146.511250,-43.508750,146.631250,-42.778750
0.955307,1.000000,146.511250,-43.508750,147.286250,-42.761250
0.922652,1.000000,146.511250,-43.508750,147.018750,-42.756250
0.968992,1.000000,146.511250,-43.508750,147.471250,-42.733750
0.935065,1.000000,146.511250,-43.508750,147.081250,-42.716250
0.947020,1.000000,146.511250,-43.508750,147.743750,-42.708750
0.928994,1.000000,146.511250,-43.508750,147.738750,-42.706250
0.952663,1.000000,146.511250,-43.508750,147.738750,-42.703750
0.951220,1.000000,146.511250,-43.508750,147.266250,-42.693750
0.968992,1.000000,146.511250,-43.508750,147.558750,-42.691250
0.883598,1.000000,146.511250,-43.508750,146.581250,-42.678750
0.967568,1.000000,146.511250,-43.508750,147.276250,-42.678750
0.878788,1.000000,146.511250,-43.508750,147.881250,-42.678750
0.906977,1.000000,146.511250,-43.508750,146.558750,-42.671250
0.721683,1.000000,146.511250,-43.508750,146.606250,-42.663750
0.893491,1.000000,146.511250,-43.508750,147.588750,-42.663750
0.933333,1.000000,146.511250,-43.508750,147.631250,-42.641250
0.962264,1.000000,146.511250,-43.508750,147.621250,-42.633750
0.931818,1.000000,146.511250,-43.508750,147.618750,-42.631250
0.964072,1.000000,146.511250,-43.508750,147.623750,-42.628750
0.984496,1.000000,146.511250,-43.508750,147.636250,-42.618750
0.984848,1.000000,146.511250,-43.508750,147.791250,-42.598750
0.893443,1.000000,146.511250,-43.508750,147.801250,-42.586250
0.920530,1.000000,146.511250,-43.508750,147.828750,-42.583750
0.960526,1.000000,146.511250,-43.508750,147.411250,-42.578750
0.926316,1.000000,146.511250,-43.508750,147.828750,-42.561250
0.570370,1.000000,146.511250,-43.508750,146.308750,-42.556250
0.918367,1.000000,146.511250,-43.508750,147.868750,-42.551250
0.556886,1.000000,146.511250,-43.508750,145.481250,-42.548750
0.867550,1.000000,146.511250,-43.508750,147.298750,-42.541250
0.880000,1.000000,146.511250,-43.508750,147.318750,-42.523750
0.962500,1.000000,146.511250,-43.508750,147.711250,-42.486250
0.938650,1.000000,146.511250,-43.508750,147.283750,-42.411250
0.828125,1.000000,146.511250,-43.508750,145.631250,-42.358750
0.886598,1.000000,146.511250,-43.508750,147.886250,-42.358750
0.936306,1.000000,146.511250,-43.508750,146.968750,-42.316250
0.896104,1.000000,146.511250,-43.508750,147.921250,-42.231250
0.927007,1.000000,146.511250,-43.508750,147.993750,-42.203750
0.886076,1.000000,146.511250,-43.508750,147.831250,-42.171250
0.880795,1.000000,146.511250,-43.508750,146.168750,-42.151250
0.984615,1.000000,146.511250,-43.508750,148.046250,-42.136250
0.956284,1.000000,146.511250,-43.508750,147.841250,-42.128750
0.787500,1.000000,146.511250,-43.508750,146.211250,-42.126250
0.969849,1.000000,146.511250,-43.508750,147.363750,-42.088750
0.898551,1.000000,146.511250,-43.508750,147.958750,-42.073750
0.884058,1.000000,146.511250,-43.508750,147.956250,-42.056250
0.851852,1.000000,146.511250,-43.508750,148.268750,-42.053750
0.969231,1.000000,146.511250,-43.508750,147.428750,-42.028750
0.954887,1.000000,146.511250,-43.508750,147.971250,-42.018750
0.952663,1.000000,146.511250,-43.508750,147.968750,-42.016250
0.883871,1.000000,146.511250,-43.508750,147.191250,-42.008750
0.867403,1.000000,146.511250,-43.508750,147.931250,-42.006250
0.954887,1.000000,146.511250,-43.508750,147.981250,-42.006250
0.965909,1.000000,146.511250,-43.508750,147.363750,-41.998750
0.890625,1.000000,146.511250,-43.508750,148.141250,-41.996250
0.867550,1.000000,146.511250,-43.508750,147.831250,-41.973750
0.801325,1.000000,146.511250,-43.508750,145.846250,-41.971250
0.950311,1.000000,146.511250,-43.508750,147.831250,-41.971250
0.985185,1.000000,146.511250,-43.508750,147.433750,-41.963750
0.896104,1.000000,146.511250,-43.508750,148.233750,-41.963750
0.838235,1.000000,146.511250,-43.508750,148.221250,-41.961250
0.752475,1.000000,146.511250,-43.508750,145.831250,-41.958750
0.720000,1.000000,146.511250,-43.508750,145.481250,-41.918750
0.845361,1.000000,146.511250,-43.508750,147.846250,-41.906250
0.879518,1.000000,146.511250,-43.508750,148.148750,-41.856250
0.820628,1.000000,146.511250,-43.508750,148.098750,-41.848750
0.893333,1.000000,146.511250,-43.508750,148.258750,-41.846250
0.884058,1.000000,146.511250,-43.508750,148.248750,-41.821250
0.966480,1.000000,146.511250,-43.508750,147.241250,-41.818750
0.985507,1.000000,146.511250,-43.508750,147.321250,-41.808750
0.914286,1.000000,146.511250,-43.508750,146.911250,-41.806250
0.986207,1.000000,146.511250,-43.508750,147.333750,-41.793750
0.723077,1.000000,146.511250,-43.508750,145.628750,-41.771250
0.946667,1.000000,146.511250,-43.508750,146.701250,-41.748750
0.985612,1.000000,146.511250,-43.508750,147.463750,-41.733750
0.689189,1.000000,146.511250,-43.508750,145.751250,-41.728750
0.900621,1.000000,146.511250,-43.508750,146.926250,-41.723750
0.954338,1.000000,146.511250,-43.508750,147.253750,-41.716250
0.846154,1.000000,146.511250,-43.508750,146.661250,-41.708750
0.886076,1.000000,146.511250,-43.508750,146.711250,-41.708750
0.957746,1.000000,146.511250,-43.508750,145.948750,-41.703750
0.956204,1.000000,146.511250,-43.508750,145.971250,-41.696250
0.968085,1.000000,146.511250,-43.508750,147.246250,-41.686250
0.972414,1.000000,146.511250,-43.508750,147.271250,-41.681250
0.885714,1.000000,146.511250,-43.508750,146.823750,-41.678750
0.895522,1.000000,146.511250,-43.508750,148.231250,-41.671250
0.860465,1.000000,146.511250,-43.508750,148.183750,-41.663750
0.859375,1.000000,146.511250,-43.508750,146.706250,-41.646250
0.953488,1.000000,146.511250,-43.508750,145.946250,-41.638750
0.942857,1.000000,146.511250,-43.508750,147.471250,-41.603750
0.883041,1.000000,146.511250,-43.508750,148.221250,-41.563750
0.900000,1.000000,146.511250,-43.508750,145.938750,-41.561250
0.953125,1.000000,146.511250,-43.508750,145.931250,-41.553750
0.875000,1.000000,146.511250,-43.508750,146.333750,-41.551250
0.941176,1.000000,146.511250,-43.508750,146.003750,-41.543750
0.939394,1.000000,146.511250,-43.508750,148.106250,-41.521250
0.925311,1.000000,146.511250,-43.508750,147.101250,-41.503750
0.954545,1.000000,146.511250,-43.508750,147.133750,-41.468750
0.782313,1.000000,146.511250,-43.508750,145.218750,-41.463750
0.882927,1.000000,146.511250,-43.508750,147.493750,-41.463750
0.971631,1.000000,146.511250,-43.508750,145.683750,-41.453750
0.986486,1.000000,146.511250,-43.508750,147.116250,-41.448750
0.939394,1.000000,146.511250,-43.508750,148.251250,-41.446250
0.969697,1.000000,146.511250,-43.508750,145.601250,-41.436250
0.955224,1.000000,146.511250,-43.508750,145.811250,-41.436250
0.666667,1.000000,146.511250,-43.508750,145.356250,-41.416250
0.878378,1.000000,146.511250,-43.508750,146.666250,-41.388750
0.984615,1.000000,146.511250,-43.508750,145.576250,-41.371250
