Class,X,Y,XTran,YTran,isothermality_2010_1kmTran,jan_rad_2010_1kmTran,mintempjuly_2010_1kmTran,precip_pet_ratio_2010_1kmTran
4,145.825000,-42.597500,0.221455,0.399057,1.008059,0.049985,0.613473,1.626199
4,145.945000,-42.597500,0.234611,0.399057,1.021240,0.090940,0.619119,1.540556
4,146.065000,-42.597500,0.247766,0.399057,0.982171,0.089067,0.546177,1.552382
4,146.185000,-42.597500,0.260922,0.399057,1.021113,0.151824,0.571173,1.340908
4,146.305000,-42.597500,0.274078,0.399057,0.943206,0.144425,0.420434,1.320063
4,146.425000,-42.597500,0.287233,0.399057,1.021334,0.194838,0.499433,0.977019
5,146.545000,-42.597500,0.300389,0.399057,0.635951,0.178155,0.204167,1.198792
6,146.665000,-42.597500,0.313545,0.399057,0.996245,0.191403,0.408845,0.776545
7,146.785000,-42.597500,0.326701,0.399057,1.041296,0.303912,0.512111,0.216644
7,146.905000,-42.597500,0.339856,0.399057,1.028624,0.288604,0.490911,0.223268
7,147.025000,-42.597500,0.353012,0.399057,1.021157,0.226265,0.487778,0.263276
7,147.145000,-42.597500,0.366168,0.399057,1.026393,0.322731,0.546434,0.115570
7,147.265000,-42.597500,0.379324,0.399057,1.021869,0.206954,0.553641,0.158393
7,147.385000,-42.597500,0.392479,0.399057,1.024639,0.234576,0.584214,0.125385
7,147.505000,-42.597500,0.405635,0.399057,1.021490,0.205491,0.586351,0.208105
7,147.625000,-42.597500,0.418791,0.399057,1.023645,0.207055,0.607494,0.215483
7,147.745000,-42.597500,0.431947,0.399057,1.044185,0.257976,0.648434,0.101616
7,147.865000,-42.597500,0.445102,0.399057,1.020868,0.203916,0.626440,0.273401
7,148.115000,-42.597500,0.472510,0.399057,0.969626,0.196657,0.624462,0.420875
4,145.345000,-42.477500,0.168832,0.385901,1.019916,0.146328,0.713124,1.322137
4,145.465000,-42.477500,0.181988,0.385901,1.035929,0.149215,0.713026,1.290129
4,145.585000,-42.477500,0.195143,0.385901,1.011034,0.048427,0.631408,1.616791
4,145.705000,-42.477500,0.208299,0.385901,0.917501,0.005403,0.565864,1.658972
4,145.825000,-42.477500,0.221455,0.385901,1.021946,0.041633,0.616037,1.588296
